Date,Symbol,Description,Open,High,Low,Close,TotalVolume,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1996-04-16,Price_ND_0_IOB,Nasdaq,1352.85,1361.85,1352.85,1361.85,1166,1175.0,0.0,80.0,0.0,507.0,811.0,507.0,891.0,668.0,284.0
1996-04-23,Price_ND_0_IOB,Nasdaq,1381.35,1389.15,1378.1,1388.65,1092,1492.0,153.0,30.0,45.0,781.0,1141.0,979.0,1216.0,513.0,276.0
1996-04-30,Price_ND_0_IOB,Nasdaq,1400.85,1401.85,1397.35,1399.85,322,1932.0,40.0,168.0,45.0,1503.0,1437.0,1588.0,1650.0,344.0,282.0
1996-05-07,Price_ND_0_IOB,Nasdaq,1398.35,1400.1,1392.85,1393.85,851,3073.0,0.0,510.0,0.0,2817.0,1835.0,2817.0,2345.0,256.0,728.0
1996-05-14,Price_ND_0_IOB,Nasdaq,1425.85,1431.35,1424.1,1429.85,1154,3205.0,43.0,1127.0,0.0,2960.0,1580.0,3003.0,2707.0,202.0,498.0
1996-05-21,Price_ND_0_IOB,Nasdaq,1427.85,1428.75,1420.85,1421.45,549,3831.0,70.0,1082.0,50.0,3284.0,2049.0,3404.0,3181.0,427.0,650.0
1996-05-28,Price_ND_0_IOB,Nasdaq,1424.1,1425.1,1416.1,1418.85,519,3819.0,87.0,1037.0,50.0,3329.0,2168.0,3466.0,3255.0,353.0,564.0
1996-06-04,Price_ND_0_IOB,Nasdaq,1423.95,1423.95,1418.95,1423.9,805,4655.0,425.0,984.0,84.0,3865.0,2944.0,4374.0,4012.0,281.0,643.0
1996-06-11,Price_ND_0_IOB,Nasdaq,1421.45,1426.7,1419.95,1422.95,1297,5884.0,71.0,1786.0,50.0,5470.0,3482.0,5591.0,5318.0,293.0,566.0
1996-06-18,Price_ND_0_IOB,Nasdaq,1411.45,1411.45,1395.45,1396.45,2601,7483.0,74.0,1397.0,48.0,6600.0,5100.0,6722.0,6545.0,761.0,938.0
1996-06-25,Price_ND_0_IOB,Nasdaq,1408.95,1408.95,1397.2,1397.7,946,5455.0,125.0,816.0,0.0,4581.0,3698.0,4706.0,4514.0,749.0,941.0
1996-07-02,Price_ND_0_IOB,Nasdaq,1414.45,1414.95,1409.65,1409.8,769,5618.0,66.0,573.0,0.0,4773.0,4144.0,4839.0,4717.0,779.0,901.0
1996-07-09,Price_ND_0_IOB,Nasdaq,1389.45,1391.45,1386.45,1388.05,621,5707.0,66.0,525.0,0.0,4886.0,4287.0,4952.0,4812.0,755.0,895.0
1996-07-16,Price_ND_0_IOB,Nasdaq,1333.95,1344.95,1304.2,1344.45,3567,6492.0,578.0,179.0,0.0,5138.0,5241.0,5716.0,5420.0,776.0,1072.0
