"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_BP_0_IOB,British Pound,5/16/1972,1.3181,1.3181,1.3177,1.3177,33
Price_BP_0_IOB,British Pound,5/17/1972,1.3179,1.3207,1.3179,1.3179,238
Price_BP_0_IOB,British Pound,5/18/1972,1.3189,1.3189,1.3189,1.3189,86
Price_BP_0_IOB,British Pound,5/19/1972,1.3193,1.3193,1.3193,1.3193,112
Price_BP_0_IOB,British Pound,5/22/1972,1.3193,1.3193,1.3193,1.3193,4
Price_BP_0_IOB,British Pound,5/23/1972,1.3175,1.3175,1.3171,1.3171,219
Price_BP_0_IOB,British Pound,5/24/1972,1.3171,1.3195,1.3171,1.3187,171
Price_BP_0_IOB,British Pound,5/25/1972,1.3177,1.3179,1.3167,1.3167,74
Price_BP_0_IOB,British Pound,5/26/1972,1.3161,1.3163,1.3161,1.3163,155
Price_BP_0_IOB,British Pound,5/30/1972,1.3165,1.3167,1.3165,1.3165,67
Price_BP_0_IOB,British Pound,5/31/1972,1.3153,1.3153,1.3151,1.3151,283
Price_BP_0_IOB,British Pound,6/1/1972,1.3147,1.3147,1.3141,1.3141,238
Price_BP_0_IOB,British Pound,6/2/1972,1.3129,1.3129,1.3127,1.3127,111
Price_BP_0_IOB,British Pound,6/5/1972,1.3101,1.3103,1.3101,1.3103,137
Price_BP_0_IOB,British Pound,6/6/1972,1.3111,1.3115,1.3111,1.3115,131
Price_BP_0_IOB,British Pound,6/7/1972,1.3119,1.3119,1.3117,1.3117,245
Price_BP_0_IOB,British Pound,6/8/1972,1.3107,1.3107,1.3105,1.3105,208
Price_BP_0_IOB,British Pound,6/9/1972,1.3095,1.3095,1.3095,1.3095,9
Price_BP_0_IOB,British Pound,6/12/1972,1.3061,1.3063,1.3041,1.3063,121
Price_BP_0_IOB,British Pound,6/13/1972,1.3021,1.3047,1.3021,1.3045,142
Price_BP_0_IOB,British Pound,6/14/1972,1.3011,1.3011,1.3011,1.3011,16
Price_BP_0_IOB,British Pound,6/15/1972,1.2875,1.2895,1.2875,1.2891,20
Price_BP_0_IOB,British Pound,6/16/1972,1.2803,1.2805,1.2801,1.2805,131
Price_BP_0_IOB,British Pound,6/19/1972,1.2871,1.2871,1.2691,1.2691,127
Price_BP_0_IOB,British Pound,6/20/1972,1.2551,1.2551,1.2551,1.2551,5
Price_BP_0_IOB,British Pound,6/21/1972,1.2411,1.2411,1.2411,1.2411,12
Price_BP_0_IOB,British Pound,6/22/1972,1.2271,1.2271,1.2271,1.2271,3
Price_BP_0_IOB,British Pound,6/23/1972,1.2131,1.2131,1.2131,1.2131,0
Price_BP_0_IOB,British Pound,6/26/1972,1.1991,1.1991,1.1991,1.1991,0
Price_BP_0_IOB,British Pound,6/27/1972,1.1851,1.1851,1.1851,1.1851,0
Price_BP_0_IOB,British Pound,6/28/1972,1.1711,1.1711,1.1711,1.1711,1
Price_BP_0_IOB,British Pound,6/29/1972,1.1571,1.1571,1.1571,1.1571,0
Price_BP_0_IOB,British Pound,6/30/1972,1.1431,1.1431,1.1431,1.1431,0
Price_BP_0_IOB,British Pound,7/3/1972,1.1291,1.1291,1.1291,1.1291,0
Price_BP_0_IOB,British Pound,7/5/1972,1.1151,1.1227,1.1151,1.1227,515
Price_BP_0_IOB,British Pound,7/6/1972,1.1171,1.1171,1.1167,1.1167,336
Price_BP_0_IOB,British Pound,7/7/1972,1.1191,1.1199,1.1191,1.1199,446
Price_BP_0_IOB,British Pound,7/10/1972,1.1221,1.1225,1.1221,1.1225,531
Price_BP_0_IOB,British Pound,7/11/1972,1.1221,1.1221,1.1221,1.1221,501
Price_BP_0_IOB,British Pound,7/12/1972,1.1201,1.1201,1.1201,1.1201,91
Price_BP_0_IOB,British Pound,7/13/1972,1.1241,1.1241,1.1241,1.1241,7
Price_BP_0_IOB,British Pound,7/14/1972,1.1211,1.1211,1.1211,1.1211,20
Price_BP_0_IOB,British Pound,7/17/1972,1.1301,1.1301,1.1301,1.1301,116
Price_BP_0_IOB,British Pound,7/18/1972,1.1281,1.1281,1.1281,1.1281,10
Price_BP_0_IOB,British Pound,7/19/1972,1.1371,1.1371,1.1241,1.1241,10
Price_BP_0_IOB,British Pound,7/20/1972,1.1201,1.1201,1.1201,1.1201,26
Price_BP_0_IOB,British Pound,7/21/1972,1.1181,1.1181,1.1181,1.1185,31
Price_BP_0_IOB,British Pound,7/24/1972,1.1161,1.1161,1.1161,1.1161,13
Price_BP_0_IOB,British Pound,7/25/1972,1.1161,1.1161,1.1161,1.1161,8
Price_BP_0_IOB,British Pound,7/26/1972,1.1161,1.1161,1.1161,1.1161,10
Price_BP_0_IOB,British Pound,7/27/1972,1.1161,1.1161,1.1161,1.1161,8
Price_BP_0_IOB,British Pound,7/28/1972,1.1161,1.1161,1.1161,1.1161,10
Price_BP_0_IOB,British Pound,7/31/1972,1.1131,1.1131,1.1131,1.1131,10
Price_BP_0_IOB,British Pound,8/1/1972,1.1131,1.1131,1.1131,1.1131,16
Price_BP_0_IOB,British Pound,8/2/1972,1.1061,1.1061,1.1061,1.1061,21
Price_BP_0_IOB,British Pound,8/3/1972,1.1041,1.1041,1.1041,1.1041,9
Price_BP_0_IOB,British Pound,8/4/1972,1.1031,1.1041,1.1031,1.1041,14
Price_BP_0_IOB,British Pound,8/7/1972,1.1041,1.1041,1.1041,1.1041,112
Price_BP_0_IOB,British Pound,8/8/1972,1.1041,1.1041,1.1041,1.1041,126
Price_BP_0_IOB,British Pound,8/9/1972,1.1041,1.1041,1.1041,1.1041,489
Price_BP_0_IOB,British Pound,8/10/1972,1.1071,1.1071,1.1071,1.1071,18
Price_BP_0_IOB,British Pound,8/11/1972,1.1071,1.1071,1.1071,1.1071,4
Price_BP_0_IOB,British Pound,8/14/1972,1.1071,1.1071,1.1071,1.1071,45
Price_BP_0_IOB,British Pound,8/15/1972,1.1071,1.1071,1.1071,1.1071,11
Price_BP_0_IOB,British Pound,8/16/1972,1.1081,1.1081,1.1081,1.1081,20
Price_BP_0_IOB,British Pound,8/17/1972,1.1221,1.1221,1.1221,1.1221,13
Price_BP_0_IOB,British Pound,8/18/1972,1.1221,1.1221,1.1221,1.1221,35
Price_BP_0_IOB,British Pound,8/21/1972,1.1291,1.1291,1.1291,1.1291,17
Price_BP_0_IOB,British Pound,8/22/1972,1.1281,1.1281,1.1281,1.1281,34
Price_BP_0_IOB,British Pound,8/23/1972,1.1211,1.1211,1.1211,1.1211,34
Price_BP_0_IOB,British Pound,8/24/1972,1.1211,1.1211,1.1211,1.1211,13
Price_BP_0_IOB,British Pound,8/25/1972,1.1211,1.1211,1.1211,1.1211,8
Price_BP_0_IOB,British Pound,8/28/1972,1.1211,1.1211,1.1211,1.1211,2
Price_BP_0_IOB,British Pound,8/29/1972,1.1211,1.1211,1.1211,1.1211,25
Price_BP_0_IOB,British Pound,8/30/1972,1.1221,1.1221,1.1221,1.1221,15
Price_BP_0_IOB,British Pound,8/31/1972,1.1211,1.1211,1.1211,1.1211,24
Price_BP_0_IOB,British Pound,9/1/1972,1.1211,1.1211,1.1211,1.1211,12
Price_BP_0_IOB,British Pound,9/5/1972,1.1211,1.1211,1.1211,1.1211,5
Price_BP_0_IOB,British Pound,9/6/1972,1.1211,1.1211,1.1211,1.1211,6
Price_BP_0_IOB,British Pound,9/7/1972,1.1211,1.1211,1.1211,1.1211,11
Price_BP_0_IOB,British Pound,9/8/1972,1.1211,1.1215,1.1211,1.1215,129
Price_BP_0_IOB,British Pound,9/11/1972,1.1241,1.1241,1.1161,1.1161,80
Price_BP_0_IOB,British Pound,9/12/1972,1.1161,1.1161,1.1161,1.1161,15
Price_BP_0_IOB,British Pound,9/13/1972,1.1161,1.1161,1.1161,1.1161,16
Price_BP_0_IOB,British Pound,9/14/1972,1.1161,1.1161,1.1161,1.1161,224
Price_BP_0_IOB,British Pound,9/15/1972,1.1161,1.1161,1.1161,1.1161,209
Price_BP_0_IOB,British Pound,9/18/1972,1.1161,1.1161,1.1161,1.1161,42
Price_BP_0_IOB,British Pound,9/19/1972,1.1161,1.1161,1.1161,1.1161,14
Price_BP_0_IOB,British Pound,9/20/1972,1.1161,1.1161,1.1161,1.1161,71
Price_BP_0_IOB,British Pound,9/21/1972,1.1161,1.1161,1.1161,1.1161,10
Price_BP_0_IOB,British Pound,9/22/1972,1.1071,1.1071,1.1071,1.1071,5
Price_BP_0_IOB,British Pound,9/25/1972,1.1071,1.1071,1.1071,1.1071,812
Price_BP_0_IOB,British Pound,9/26/1972,1.1031,1.1031,1.1027,1.1027,72
Price_BP_0_IOB,British Pound,9/27/1972,1.1021,1.1025,1.1021,1.1025,132
Price_BP_0_IOB,British Pound,9/28/1972,1.1025,1.1025,1.1025,1.1025,5
Price_BP_0_IOB,British Pound,9/29/1972,1.1025,1.1025,1.1025,1.1025,13
Price_BP_0_IOB,British Pound,10/2/1972,1.1061,1.1061,1.1061,1.1061,13
Price_BP_0_IOB,British Pound,10/3/1972,1.1041,1.1041,1.1041,1.1041,109
Price_BP_0_IOB,British Pound,10/4/1972,1.1041,1.1041,1.1041,1.1041,29
Price_BP_0_IOB,British Pound,10/5/1972,1.1041,1.1041,1.1041,1.1041,8
Price_BP_0_IOB,British Pound,10/6/1972,1.1031,1.1031,1.1031,1.1031,6
Price_BP_0_IOB,British Pound,10/9/1972,1.1031,1.1031,1.1031,1.1031,52
Price_BP_0_IOB,British Pound,10/10/1972,1.1091,1.1091,1.1031,1.1031,806
Price_BP_0_IOB,British Pound,10/11/1972,1.1031,1.1031,1.1031,1.1031,19
Price_BP_0_IOB,British Pound,10/12/1972,1.1031,1.1031,1.1031,1.1031,5
Price_BP_0_IOB,British Pound,10/13/1972,1.1031,1.1031,1.1031,1.1031,36
Price_BP_0_IOB,British Pound,10/16/1972,1.0961,1.0961,1.0961,1.0961,0
Price_BP_0_IOB,British Pound,10/17/1972,1.0961,1.0961,1.0961,1.0961,25
Price_BP_0_IOB,British Pound,10/18/1972,1.0967,1.0971,1.0967,1.0971,44
Price_BP_0_IOB,British Pound,10/19/1972,1.0941,1.0941,1.0831,1.0831,61
Price_BP_0_IOB,British Pound,10/20/1972,1.0831,1.0831,1.0831,1.0831,47
Price_BP_0_IOB,British Pound,10/23/1972,1.0831,1.0831,1.0831,1.0831,38
Price_BP_0_IOB,British Pound,10/24/1972,1.0631,1.0631,1.0631,1.0631,36
Price_BP_0_IOB,British Pound,10/25/1972,1.0461,1.0461,1.0461,1.0461,224
Price_BP_0_IOB,British Pound,10/26/1972,1.0311,1.0311,1.0311,1.0311,202
Price_BP_0_IOB,British Pound,10/27/1972,1.0311,1.0311,1.0311,1.0311,61
Price_BP_0_IOB,British Pound,10/30/1972,1.0111,1.0111,1.0111,1.0111,66
Price_BP_0_IOB,British Pound,10/31/1972,1.0201,1.0201,1.0201,1.0201,60
Price_BP_0_IOB,British Pound,11/1/1972,1.0201,1.0201,1.0201,1.0201,1
Price_BP_0_IOB,British Pound,11/2/1972,1.0201,1.0201,1.0201,1.0201,1
Price_BP_0_IOB,British Pound,11/3/1972,1.0201,1.0201,1.0201,1.0201,2
Price_BP_0_IOB,British Pound,11/6/1972,1.0201,1.0201,1.0201,1.0201,18
Price_BP_0_IOB,British Pound,11/8/1972,1.0201,1.0201,1.0201,1.0201,56
Price_BP_0_IOB,British Pound,11/9/1972,1.0351,1.0351,1.0351,1.0351,55
