"Symbol","Description","Date","Open","High","Low","Close","TotalVolume"
Price_FV_0_IOB,T-Note (5 Year),5/20/1988,30.116245,30.188593,30.058367,30.072837,4088
Price_FV_0_IOB,T-Note (5 Year),5/23/1988,30.029428,30.145184,29.928142,29.928142,3437
Price_FV_0_IOB,T-Note (5 Year),5/24/1988,29.986020,30.029428,29.928142,29.942611,2780
Price_FV_0_IOB,T-Note (5 Year),5/25/1988,30.058367,30.130715,29.957081,30.014959,2583
Price_FV_0_IOB,T-Note (5 Year),5/26/1988,29.986020,30.000489,29.740038,29.899203,3430
Price_FV_0_IOB,T-Note (5 Year),5/27/1988,29.653221,29.783447,29.595343,29.754508,2749
Price_FV_0_IOB,T-Note (5 Year),5/31/1988,29.696630,29.841325,29.696630,29.841325,1543
Price_FV_0_IOB,T-Note (5 Year),6/1/1988,30.101776,30.434574,30.072837,30.405635,2062
Price_FV_0_IOB,T-Note (5 Year),6/2/1988,30.449044,30.593739,30.304349,30.304349,2957
Price_FV_0_IOB,T-Note (5 Year),6/3/1988,30.304349,30.651617,30.275410,30.651617,2557
Price_FV_0_IOB,T-Note (5 Year),6/6/1988,30.680556,30.723964,30.535861,30.709495,3389
Price_FV_0_IOB,T-Note (5 Year),6/7/1988,30.564800,30.680556,30.506922,30.564800,1971
Price_FV_0_IOB,T-Note (5 Year),6/8/1988,30.622678,30.941007,30.622678,30.941007,4944
Price_FV_0_IOB,T-Note (5 Year),6/9/1988,30.883129,30.955477,30.738434,30.781843,5614
Price_FV_0_IOB,T-Note (5 Year),6/10/1988,30.796312,31.013355,30.723964,30.897599,3394
Price_FV_0_IOB,T-Note (5 Year),6/13/1988,30.984416,31.085702,30.984416,30.984416,1548
Price_FV_0_IOB,T-Note (5 Year),6/14/1988,31.447440,31.809177,31.447440,31.780238,2876
Price_FV_0_IOB,T-Note (5 Year),6/15/1988,31.664482,31.693421,31.548726,31.592135,1735
Price_FV_0_IOB,T-Note (5 Year),6/16/1988,31.172519,31.172519,30.955477,31.013355,2644
Price_FV_0_IOB,T-Note (5 Year),6/17/1988,30.883129,30.883129,30.535861,30.593739,1954
Price_FV_0_IOB,T-Note (5 Year),6/20/1988,30.477983,30.695025,30.333288,30.564800,1381
Price_FV_0_IOB,T-Note (5 Year),6/21/1988,30.593739,30.695025,30.420105,30.535861,2877
Price_FV_0_IOB,T-Note (5 Year),6/22/1988,30.969946,31.085702,30.854190,30.984416,1739
Price_FV_0_IOB,T-Note (5 Year),6/23/1988,31.288275,31.317214,31.056763,31.085702,1461
Price_FV_0_IOB,T-Note (5 Year),6/24/1988,31.201458,31.288275,31.100172,31.129111,1888
Price_FV_0_IOB,T-Note (5 Year),6/27/1988,30.998885,31.042294,30.825251,30.839721,1048
Price_FV_0_IOB,T-Note (5 Year),6/28/1988,30.767373,31.085702,30.752903,31.042294,2705
Price_FV_0_IOB,T-Note (5 Year),6/29/1988,31.056763,31.244867,30.998885,31.085702,2496
Price_FV_0_IOB,T-Note (5 Year),6/30/1988,31.172519,31.317214,31.143580,31.288275,3279
Price_FV_0_IOB,T-Note (5 Year),7/1/1988,31.432970,31.534257,31.360623,31.360623,1295
Price_FV_0_IOB,T-Note (5 Year),7/5/1988,31.201458,31.244867,31.143580,31.201458,1123
Price_FV_0_IOB,T-Note (5 Year),7/6/1988,31.085702,31.158050,30.998885,30.998885,1548
Price_FV_0_IOB,T-Note (5 Year),7/7/1988,30.825251,30.969946,30.738434,30.941007,4108
Price_FV_0_IOB,T-Note (5 Year),7/8/1988,30.622678,30.666086,30.477983,30.506922,6643
Price_FV_0_IOB,T-Note (5 Year),7/11/1988,30.506922,30.651617,30.477983,30.651617,1274
Price_FV_0_IOB,T-Note (5 Year),7/12/1988,30.564800,30.593739,30.420105,30.420105,2897
Price_FV_0_IOB,T-Note (5 Year),7/13/1988,30.333288,30.564800,30.275410,30.347757,2668
Price_FV_0_IOB,T-Note (5 Year),7/14/1988,30.347757,30.376696,30.232001,30.304349,2519
Price_FV_0_IOB,T-Note (5 Year),7/15/1988,30.391166,30.521391,30.289879,30.506922,2024
Price_FV_0_IOB,T-Note (5 Year),7/18/1988,30.420105,30.434574,30.246471,30.318818,912
Price_FV_0_IOB,T-Note (5 Year),7/19/1988,30.391166,30.521391,30.391166,30.477983,3537
Price_FV_0_IOB,T-Note (5 Year),7/20/1988,30.521391,30.521391,30.420105,30.477983,2240
Price_FV_0_IOB,T-Note (5 Year),7/21/1988,30.260940,30.347757,30.260940,30.333288,2090
Price_FV_0_IOB,T-Note (5 Year),7/22/1988,30.289879,30.492452,30.246471,30.477983,1472
Price_FV_0_IOB,T-Note (5 Year),7/25/1988,30.434574,30.579269,30.434574,30.521391,1220
Price_FV_0_IOB,T-Note (5 Year),7/26/1988,30.449044,30.550330,30.449044,30.535861,1774
Price_FV_0_IOB,T-Note (5 Year),7/27/1988,30.405635,30.449044,30.232001,30.246471,2167
Price_FV_0_IOB,T-Note (5 Year),7/28/1988,30.246471,30.304349,30.101776,30.232001,2796
