Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,370440.0,47835.0,11560.0,21400.0,117120.0,175845.0,186355.0,208805.0,184085.0,161635.0
1986-01-31,373275.0,42610.0,15880.0,23145.0,122430.0,177790.0,188185.0,216815.0,185090.0,156460.0
1986-02-14,366705.0,24555.0,16840.0,19060.0,130140.0,169890.0,173755.0,205790.0,192950.0,160915.0
1986-02-28,376525.0,22805.0,26390.0,35735.0,145015.0,151890.0,203555.0,214015.0,172970.0,162510.0
1986-03-14,375235.0,43290.0,14190.0,25210.0,125300.0,200975.0,193800.0,240375.0,181435.0,134860.0
1986-03-31,385445.0,53950.0,19575.0,24960.0,122485.0,201310.0,201395.0,245845.0,184050.0,139600.0
1986-04-15,385070.0,22000.0,44425.0,24170.0,162045.0,158340.0,208215.0,226935.0,176855.0,158135.0
1986-04-30,371655.0,40315.0,13770.0,29535.0,113425.0,179655.0,183275.0,222960.0,188380.0,148695.0
1986-05-15,348370.0,43975.0,17950.0,29995.0,101165.0,157960.0,175135.0,205905.0,173235.0,142465.0
1986-05-30,328685.0,31220.0,15240.0,29540.0,103970.0,143170.0,164730.0,187950.0,163955.0,140735.0
1986-06-13,329775.0,21730.0,30905.0,28955.0,117930.0,126800.0,168615.0,186660.0,161160.0,143115.0
1986-06-30,323230.0,18805.0,51045.0,26205.0,134435.0,102190.0,179445.0,179440.0,143785.0,143790.0
1986-07-15,299915.0,26260.0,33460.0,26070.0,107510.0,105860.0,159840.0,165390.0,140075.0,134525.0
1986-07-31,287720.0,30650.0,13400.0,16600.0,96530.0,134605.0,143780.0,164605.0,143940.0,123115.0
1986-08-15,286741.0,17595.0,36150.0,20140.0,118245.0,97755.0,155980.0,154045.0,130761.0,132696.0
1986-08-29,296330.0,18695.0,34510.0,23820.0,123035.0,92895.0,165550.0,151225.0,130780.0,145105.0
1986-09-15,295030.0,20240.0,41610.0,14350.0,123290.0,604220.0,157880.0,660180.0,137150.0,-365150.0
1986-09-30,309715.0,32515.0,40615.0,14880.0,112055.0,98355.0,159450.0,153850.0,150265.0,155865.0
1986-10-15,362870.0,13270.0,58825.0,24100.0,174055.0,114430.0,211425.0,197355.0,151445.0,165515.0
1986-10-31,426460.0,41360.0,30830.0,49010.0,167475.0,177015.0,257845.0,256855.0,168615.0,169605.0
1986-11-14,400460.0,43285.0,20575.0,41850.0,155015.0,177565.0,240150.0,239990.0,160310.0,160470.0
1986-11-28,408680.0,38545.0,21020.0,45350.0,162705.0,193915.0,246600.0,260285.0,162080.0,148395.0
1986-12-15,402785.0,19580.0,28990.0,43150.0,194900.0,169050.0,257630.0,241190.0,145155.0,161595.0
1986-12-31,392210.0,28685.0,25905.0,42405.0,194510.0,172180.0,265600.0,240490.0,126610.0,151720.0
1987-01-15,361745.0,25125.0,20130.0,32110.0,170200.0,157395.0,227435.0,209635.0,134310.0,152110.0
1987-01-30,383700.0,34745.0,17070.0,45245.0,168450.0,156275.0,248440.0,218590.0,135260.0,165110.0
1987-02-13,373790.0,13875.0,26335.0,42860.0,188025.0,122325.0,244760.0,191520.0,129030.0,182270.0
1987-02-27,363695.0,15955.0,41880.0,36640.0,177695.0,116935.0,230290.0,195455.0,133405.0,168240.0
1987-03-13,384290.0,30940.0,24345.0,39980.0,179890.0,162980.0,250810.0,227305.0,133480.0,156985.0
1987-03-31,414180.0,36835.0,26445.0,40215.0,184410.0,192290.0,261460.0,258950.0,152720.0,155230.0
1987-04-15,461710.0,67255.0,26830.0,29740.0,176435.0,218150.0,273430.0,274720.0,188280.0,186990.0
1987-04-30,445470.0,56290.0,19280.0,33185.0,158355.0,205060.0,247830.0,257525.0,197640.0,187945.0
1987-05-15,491545.0,72270.0,25060.0,32225.0,150210.0,242720.0,254705.0,300005.0,236840.0,191540.0
1987-05-29,452145.0,53835.0,20495.0,32185.0,159850.0,219770.0,245870.0,272450.0,206275.0,179695.0
1987-06-15,488050.0,89320.0,12705.0,35690.0,112895.0,260695.0,237905.0,309090.0,250145.0,178960.0
1987-06-30,432370.0,62455.0,21700.0,43845.0,102010.0,203970.0,208310.0,269515.0,224060.0,162855.0
1987-07-15,390490.0,52920.0,18800.0,16270.0,98155.0,203525.0,167345.0,238595.0,223145.0,151895.0
1987-07-31,368025.0,51685.0,18565.0,9835.0,95290.0,197850.0,156810.0,226250.0,211215.0,141775.0
1987-08-14,377785.0,48435.0,39265.0,18515.0,109505.0,173465.0,176455.0,231245.0,201330.0,146540.0
1987-08-31,354905.0,38190.0,35855.0,12030.0,117015.0,163305.0,167235.0,211190.0,187670.0,143715.0
1987-09-15,359560.0,39460.0,30305.0,24255.0,108800.0,164075.0,172515.0,218635.0,187045.0,140925.0
1987-09-30,426415.0,66260.0,29565.0,37495.0,108090.0,205895.0,211845.0,272955.0,214570.0,153460.0
1987-10-15,575960.0,118170.0,24125.0,65305.0,130365.0,305515.0,313840.0,394945.0,262120.0,181015.0
1987-10-30,485760.0,75700.0,17030.0,53880.0,141445.0,256945.0,271025.0,327855.0,214735.0,157905.0
1987-11-13,547060.0,114825.0,16030.0,40665.0,144155.0,319385.0,299645.0,376080.0,247415.0,170980.0
1987-11-30,621120.0,126885.0,9575.0,41090.0,172380.0,362820.0,340355.0,413485.0,280765.0,207635.0
1987-12-15,591910.0,105830.0,10075.0,43515.0,165160.0,325825.0,314505.0,379415.0,277405.0,212495.0
1987-12-31,550425.0,114635.0,7680.0,43245.0,150350.0,299325.0,308230.0,350250.0,242195.0,200175.0
1988-01-15,608810.0,121275.0,11780.0,40235.0,144195.0,315735.0,305705.0,367750.0,303105.0,241060.0
1988-01-29,580025.0,92695.0,17050.0,40885.0,157245.0,282330.0,290825.0,340265.0,289200.0,239760.0
1988-02-12,621680.0,118570.0,20775.0,47540.0,156455.0,295500.0,322565.0,363815.0,299115.0,257865.0
1988-02-29,615685.0,116915.0,10100.0,49815.0,145600.0,316590.0,312330.0,376505.0,303355.0,239180.0
1988-03-15,588360.0,87145.0,37220.0,45415.0,157145.0,255630.0,289705.0,338265.0,298655.0,250095.0
1988-03-31,636350.0,137665.0,12085.0,57495.0,146485.0,312930.0,341645.0,382510.0,294705.0,253840.0
1988-04-15,690840.0,116360.0,28265.0,64375.0,147880.0,311255.0,328615.0,403895.0,362225.0,286945.0
1988-04-29,701725.0,175160.0,13995.0,67395.0,117785.0,343350.0,360340.0,424740.0,341385.0,276985.0
1988-05-13,763160.0,198815.0,24290.0,68475.0,137200.0,372965.0,404490.0,465730.0,358670.0,297430.0
1988-05-31,802875.0,190800.0,21750.0,78650.0,135865.0,396085.0,405315.0,496485.0,397560.0,306390.0
1988-06-15,886705.0,197055.0,31980.0,93335.0,165510.0,421855.0,455900.0,547170.0,430805.0,339535.0
1988-06-30,725145.0,133340.0,22960.0,69155.0,177720.0,375225.0,380215.0,467340.0,344930.0,257805.0
1988-07-15,658775.0,144980.0,26300.0,45850.0,158535.0,350755.0,349365.0,422905.0,309410.0,235870.0
1988-07-29,561305.0,124405.0,17610.0,32690.0,176350.0,293300.0,333445.0,343600.0,227860.0,217705.0
1988-08-15,583035.0,125070.0,28500.0,35260.0,165520.0,294690.0,325850.0,358450.0,257185.0,224585.0
1988-08-31,575950.0,124785.0,33185.0,33115.0,180150.0,284925.0,338050.0,351225.0,237900.0,224725.0
1988-09-15,623350.0,153840.0,26725.0,43035.0,167065.0,320575.0,363940.0,390335.0,259410.0,233015.0
1988-09-30,601250.0,125245.0,42090.0,39625.0,195180.0,284560.0,360050.0,366275.0,241200.0,234975.0
1988-10-14,630855.0,108685.0,41670.0,35410.0,200125.0,299260.0,344220.0,376340.0,286635.0,254515.0
1988-10-31,561335.0,79820.0,37430.0,47770.0,170930.0,239675.0,298520.0,324875.0,262815.0,236460.0
1988-11-15,558630.0,78920.0,45570.0,42120.0,173590.0,238715.0,294630.0,326405.0,264000.0,232225.0
1988-11-30,583600.0,81830.0,43900.0,47505.0,185430.0,248395.0,314765.0,339800.0,268835.0,243800.0
1988-12-15,618615.0,90495.0,39675.0,49470.0,191410.0,270240.0,331375.0,359385.0,287240.0,259230.0
1988-12-30,604385.0,91675.0,34265.0,58415.0,185780.0,270040.0,335870.0,362720.0,268515.0,241665.0
1989-01-13,613135.0,98900.0,31630.0,65715.0,154410.0,283920.0,319025.0,381265.0,294110.0,231870.0
1989-01-31,579050.0,76090.0,60305.0,42905.0,168535.0,257130.0,287530.0,360340.0,291520.0,218710.0
1989-02-15,580510.0,56850.0,60465.0,52975.0,186575.0,236170.0,296400.0,349610.0,284110.0,230900.0
1989-02-28,561100.0,61345.0,47870.0,37795.0,175625.0,254035.0,274765.0,339700.0,286335.0,221400.0
1989-03-15,583785.0,66495.0,53745.0,45650.0,176225.0,257705.0,288370.0,357100.0,295415.0,226685.0
1989-03-31,541760.0,38695.0,53100.0,39025.0,186850.0,219285.0,264570.0,311410.0,277190.0,230350.0
