Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1986-01-15,15693.0,407.0,8382.0,0.0,9782.0,2319.0,10189.0,10701.0,5504.0,4992.0
1986-01-31,18922.0,413.0,9401.0,1.0,12821.0,3057.0,13235.0,12459.0,5687.0,6463.0
1986-02-14,13901.0,1710.0,2513.0,108.0,6071.0,7109.0,7889.0,9730.0,6012.0,4171.0
1986-02-28,15075.0,1547.0,3756.0,86.0,8775.0,5544.0,10408.0,9386.0,4667.0,5689.0
1986-03-14,14134.0,1524.0,1896.0,249.0,6981.0,7175.0,8754.0,9320.0,5380.0,4814.0
1986-03-31,9748.0,1768.0,1004.0,129.0,2735.0,4976.0,4632.0,6109.0,5116.0,3639.0
1986-04-15,10983.0,2185.0,1410.0,131.0,2642.0,5794.0,4958.0,7335.0,6025.0,3648.0
1986-04-30,13670.0,3401.0,1553.0,311.0,1523.0,8759.0,5235.0,10623.0,8435.0,3047.0
1986-05-15,14246.0,3575.0,2508.0,722.0,1804.0,7750.0,6101.0,10980.0,8145.0,3266.0
1986-05-30,14977.0,2233.0,125.0,350.0,4384.0,11258.0,6967.0,11733.0,8010.0,3244.0
1986-06-13,13025.0,1174.0,1022.0,558.0,5342.0,9044.0,7074.0,10624.0,5951.0,2401.0
1986-06-30,9400.0,1417.0,932.0,241.0,917.0,3043.0,2575.0,4216.0,6825.0,5184.0
1986-07-15,11320.0,1951.0,1258.0,222.0,975.0,6077.0,3148.0,7557.0,8172.0,3763.0
1986-07-31,13759.0,1040.0,1966.0,263.0,6636.0,6979.0,7939.0,9208.0,5820.0,4551.0
1986-08-15,15436.0,1557.0,2934.0,263.0,8997.0,6986.0,10817.0,10183.0,4619.0,5253.0
1986-08-29,17501.0,205.0,3027.0,265.0,12479.0,8254.0,12949.0,11546.0,4552.0,5955.0
1986-09-15,16111.0,328.0,1071.0,254.0,7614.0,9415.0,8196.0,10740.0,7915.0,5371.0
1986-09-30,9358.0,249.0,995.0,0.0,1733.0,4409.0,1982.0,5404.0,7376.0,3954.0
1986-10-15,11095.0,462.0,2173.0,117.0,3183.0,4609.0,3762.0,6899.0,7333.0,4196.0
1986-10-31,12377.0,702.0,2970.0,22.0,4355.0,4863.0,5079.0,7855.0,7298.0,4522.0
1986-11-14,15667.0,4160.0,1723.0,0.0,1957.0,9336.0,6117.0,11059.0,9550.0,4608.0
1986-11-28,14648.0,1620.0,1750.0,0.0,3931.0,8149.0,5551.0,9899.0,9097.0,4749.0
1986-12-15,18363.0,3056.0,1076.0,0.0,5407.0,12762.0,8463.0,13838.0,9900.0,4525.0
1986-12-31,14937.0,2905.0,1098.0,0.0,3637.0,10078.0,6542.0,11176.0,8395.0,3761.0
1987-01-15,15379.0,3591.0,1577.0,0.0,2253.0,10023.0,5844.0,11600.0,9535.0,3779.0
1987-01-30,23106.0,6196.0,1031.0,865.0,1521.0,16513.0,8582.0,18409.0,14524.0,4697.0
1987-02-13,24222.0,4639.0,1482.0,1693.0,3870.0,16528.0,10202.0,19703.0,14020.0,4519.0
1987-02-27,24837.0,6827.0,1057.0,1695.0,2839.0,17301.0,11361.0,20053.0,13476.0,4784.0
1987-03-13,34455.0,11212.0,220.0,1815.0,6548.0,28631.0,19575.0,30666.0,14880.0,3789.0
1987-03-31,27963.0,7855.0,469.0,1147.0,2467.0,21486.0,11469.0,23102.0,16494.0,4861.0
1987-04-15,25825.0,3643.0,800.0,546.0,7102.0,17741.0,11291.0,19087.0,14534.0,6738.0
1987-04-30,24537.0,1721.0,1853.0,442.0,10780.0,16301.0,12943.0,18596.0,11594.0,5941.0
1987-05-15,24663.0,1667.0,1257.0,1459.0,10648.0,15474.0,13774.0,18190.0,10889.0,6473.0
1987-05-29,25406.0,1521.0,1165.0,1701.0,11135.0,15679.0,14357.0,18545.0,11049.0,6861.0
1987-06-15,25820.0,1507.0,580.0,1719.0,11588.0,15783.0,14814.0,18082.0,11006.0,7738.0
1987-06-30,19674.0,3215.0,274.0,597.0,6380.0,17673.0,10192.0,18544.0,9482.0,1130.0
1987-07-15,23082.0,4652.0,0.0,890.0,2723.0,17705.0,8265.0,18595.0,14817.0,4487.0
1987-07-31,19033.0,2531.0,284.0,850.0,5047.0,13388.0,8428.0,14522.0,10605.0,4511.0
1987-08-14,18322.0,2530.0,0.0,586.0,3477.0,12712.0,6593.0,13298.0,11729.0,5024.0
1987-08-31,23449.0,5651.0,587.0,358.0,1803.0,17769.0,7812.0,18714.0,15637.0,4735.0
1987-09-15,19660.0,6821.0,531.0,935.0,2044.0,15773.0,9800.0,17239.0,9860.0,2421.0
