Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1995-05-23,3407.0,679.0,0.0,0.0,675.0,2244.0,1354.0,2244.0,2053.0,1163.0
1995-05-30,4388.0,1162.0,0.0,0.0,681.0,2974.0,1843.0,2974.0,2545.0,1414.0
1995-06-06,4867.0,812.0,233.0,0.0,220.0,3009.0,1032.0,3242.0,3835.0,1625.0
1995-06-13,5216.0,1287.0,0.0,0.0,591.0,3572.0,1878.0,3572.0,3338.0,1644.0
1995-06-20,5298.0,1981.0,227.0,0.0,346.0,3799.0,2327.0,4026.0,2971.0,1272.0
1995-06-27,6099.0,2683.0,0.0,0.0,360.0,4460.0,3043.0,4460.0,3056.0,1639.0
1995-07-03,6527.0,2628.0,0.0,0.0,562.0,4590.0,3190.0,4590.0,3337.0,1937.0
1995-07-11,7510.0,3274.0,330.0,0.0,560.0,5526.0,3834.0,5856.0,3676.0,1654.0
1995-07-18,8677.0,2983.0,512.0,0.0,835.0,6383.0,3818.0,6895.0,4859.0,1782.0
1995-07-25,9114.0,2638.0,300.0,0.0,1689.0,7050.0,4327.0,7350.0,4787.0,1764.0
1995-08-01,9288.0,2985.0,300.0,0.0,2006.0,7115.0,4991.0,7415.0,4297.0,1873.0
1995-08-08,9993.0,2628.0,300.0,0.0,2710.0,7826.0,5338.0,8126.0,4655.0,1867.0
1995-08-15,10406.0,588.0,535.0,0.0,5355.0,7837.0,5943.0,8372.0,4463.0,2034.0
1995-08-22,11395.0,588.0,300.0,0.0,6023.0,8595.0,6611.0,8895.0,4784.0,2500.0
1995-08-29,12256.0,797.0,300.0,0.0,6602.0,9460.0,7399.0,9760.0,4857.0,2496.0
1995-09-05,12639.0,225.0,0.0,0.0,6940.0,9898.0,7165.0,9898.0,5474.0,2741.0
1995-09-12,13224.0,225.0,0.0,0.0,8375.0,10231.0,8600.0,10231.0,4624.0,2993.0
1995-09-19,10826.0,225.0,0.0,0.0,7349.0,8805.0,7574.0,8805.0,3252.0,2021.0
1995-09-26,11737.0,448.0,0.0,0.0,7791.0,9061.0,8239.0,9061.0,3498.0,2676.0
1995-10-03,12444.0,1029.0,0.0,0.0,7740.0,8890.0,8769.0,8890.0,3675.0,3554.0
1995-10-10,12988.0,948.0,0.0,0.0,8233.0,9473.0,9181.0,9473.0,3807.0,3515.0
1995-10-17,13789.0,963.0,0.0,0.0,8963.0,10020.0,9926.0,10020.0,3863.0,3769.0
1995-10-24,14018.0,917.0,0.0,0.0,9259.0,10443.0,10176.0,10443.0,3842.0,3575.0
1995-10-31,14167.0,1076.0,0.0,0.0,9514.0,10628.0,10590.0,10628.0,3577.0,3539.0
1995-11-07,14656.0,1214.0,0.0,0.0,9768.0,10799.0,10982.0,10799.0,3674.0,3857.0
1995-11-14,14897.0,1132.0,0.0,0.0,9368.0,10660.0,10500.0,10660.0,4397.0,4237.0
1995-11-21,14936.0,752.0,0.0,230.0,9793.0,10125.0,10775.0,10355.0,4161.0,4581.0
1995-11-28,15230.0,612.0,0.0,0.0,10104.0,10865.0,10716.0,10865.0,4514.0,4365.0
1995-12-05,15809.0,1069.0,318.0,0.0,11723.0,10652.0,12792.0,10970.0,3017.0,4839.0
1995-12-12,15563.0,595.0,318.0,0.0,10854.0,10529.0,11449.0,10847.0,4114.0,4716.0
1995-12-19,12573.0,0.0,1844.0,0.0,10095.0,6594.0,10095.0,8438.0,2478.0,4135.0
1995-12-26,13020.0,0.0,1859.0,0.0,10379.0,7068.0,10379.0,8927.0,2641.0,4093.0
1996-01-02,14492.0,0.0,1859.0,0.0,11711.0,8485.0,11711.0,10344.0,2781.0,4148.0
1996-01-09,14277.0,0.0,2096.0,0.0,11513.0,7744.0,11513.0,9840.0,2764.0,4437.0
1996-01-16,14555.0,207.0,2346.0,0.0,11586.0,7722.0,11793.0,10068.0,2762.0,4487.0
1996-01-23,16315.0,207.0,2574.0,0.0,12966.0,8881.0,13173.0,11455.0,3142.0,4860.0
1996-01-30,16900.0,0.0,3481.0,0.0,13232.0,8394.0,13232.0,11875.0,3668.0,5025.0
1996-02-06,18363.0,0.0,2962.0,0.0,14770.0,10430.0,14770.0,13392.0,3593.0,4971.0
1996-02-13,19581.0,101.0,2521.0,346.0,16296.0,11570.0,16743.0,14437.0,2838.0,5144.0
