Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1988-05-31,2199.0,268.0,78.0,0.0,1338.0,1300.0,1606.0,1378.0,593.0,821.0
1988-06-15,5978.0,1343.0,2155.0,322.0,4016.0,3164.0,5681.0,5641.0,297.0,337.0
1988-06-30,7866.0,1201.0,2853.0,185.0,5915.0,3669.0,7301.0,6707.0,565.0,1159.0
1988-07-15,10530.0,1757.0,2813.0,639.0,7582.0,5745.0,9978.0,9197.0,552.0,1333.0
1988-07-29,13024.0,1443.0,711.0,874.0,10253.0,10554.0,12570.0,12139.0,454.0,885.0
1988-08-15,10619.0,1816.0,757.0,1031.0,7307.0,8244.0,10154.0,10032.0,465.0,587.0
1988-08-31,11764.0,917.0,313.0,25.0,10248.0,10773.0,11190.0,11111.0,574.0,653.0
1988-09-15,12537.0,1112.0,844.0,1052.0,9851.0,9881.0,12015.0,11777.0,522.0,760.0
1988-09-30,15901.0,3047.0,593.0,1026.0,11206.0,12382.0,15279.0,14001.0,622.0,1900.0
1988-10-14,18011.0,3406.0,1369.0,1710.0,12521.0,14818.0,17637.0,17897.0,374.0,114.0
1988-10-31,23053.0,1032.0,1808.0,2292.0,19083.0,18546.0,22407.0,22646.0,646.0,407.0
1988-11-15,23631.0,1010.0,1389.0,2328.0,19531.0,19498.0,22869.0,23215.0,762.0,416.0
1988-11-30,30638.0,789.0,456.0,1319.0,26821.0,27377.0,28929.0,29152.0,1709.0,1486.0
1988-12-15,36952.0,738.0,2692.0,231.0,34994.0,33086.0,35963.0,36009.0,989.0,943.0
1988-12-30,31532.0,633.0,1120.0,25.0,30340.0,29806.0,30998.0,30951.0,534.0,581.0
1989-01-13,32959.0,2490.0,2751.0,789.0,30484.0,28701.0,33763.0,32241.0,-804.0,718.0
1989-01-31,37727.0,1032.0,1953.0,187.0,35512.0,33859.0,36731.0,35999.0,996.0,1728.0
1989-02-15,41037.0,805.0,1989.0,774.0,40352.0,38397.0,41931.0,41160.0,-894.0,-123.0
1989-02-28,43606.0,307.0,1046.0,191.0,42249.0,38802.0,42747.0,40039.0,859.0,3567.0
1989-03-15,46941.0,1746.0,2142.0,30.0,44689.0,44248.0,46465.0,46420.0,476.0,521.0
