Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1996-04-16,1175.0,0.0,80.0,0.0,507.0,811.0,507.0,891.0,668.0,284.0
1996-04-23,1492.0,153.0,30.0,45.0,781.0,1141.0,979.0,1216.0,513.0,276.0
1996-04-30,1932.0,40.0,168.0,45.0,1503.0,1437.0,1588.0,1650.0,344.0,282.0
1996-05-07,3073.0,0.0,510.0,0.0,2817.0,1835.0,2817.0,2345.0,256.0,728.0
1996-05-14,3205.0,43.0,1127.0,0.0,2960.0,1580.0,3003.0,2707.0,202.0,498.0
1996-05-21,3831.0,70.0,1082.0,50.0,3284.0,2049.0,3404.0,3181.0,427.0,650.0
1996-05-28,3819.0,87.0,1037.0,50.0,3329.0,2168.0,3466.0,3255.0,353.0,564.0
1996-06-04,4655.0,425.0,984.0,84.0,3865.0,2944.0,4374.0,4012.0,281.0,643.0
1996-06-11,5884.0,71.0,1786.0,50.0,5470.0,3482.0,5591.0,5318.0,293.0,566.0
1996-06-18,7483.0,74.0,1397.0,48.0,6600.0,5100.0,6722.0,6545.0,761.0,938.0
1996-06-25,5455.0,125.0,816.0,0.0,4581.0,3698.0,4706.0,4514.0,749.0,941.0
1996-07-02,5618.0,66.0,573.0,0.0,4773.0,4144.0,4839.0,4717.0,779.0,901.0
1996-07-09,5707.0,66.0,525.0,0.0,4886.0,4287.0,4952.0,4812.0,755.0,895.0
1996-07-16,6492.0,578.0,179.0,0.0,5138.0,5241.0,5716.0,5420.0,776.0,1072.0
1996-07-23,6439.0,100.0,361.0,0.0,5058.0,4682.0,5158.0,5043.0,1281.0,1396.0
1996-07-30,6163.0,71.0,518.0,0.0,5039.0,4009.0,5110.0,4527.0,1053.0,1636.0
1996-08-06,5211.0,170.0,798.0,0.0,4219.0,3198.0,4389.0,3996.0,822.0,1215.0
1996-08-13,4976.0,116.0,873.0,0.0,4396.0,3031.0,4512.0,3904.0,464.0,1072.0
1996-08-20,4651.0,136.0,897.0,0.0,4023.0,2916.0,4159.0,3813.0,492.0,838.0
1996-08-27,4129.0,155.0,581.0,55.0,3538.0,2682.0,3748.0,3318.0,381.0,811.0
1996-09-03,4164.0,75.0,675.0,145.0,3569.0,2376.0,3789.0,3196.0,375.0,968.0
1996-09-10,6170.0,74.0,770.0,0.0,5720.0,4314.0,5794.0,5084.0,376.0,1086.0
1996-09-17,8739.0,81.0,835.0,52.0,7519.0,6074.0,7652.0,6961.0,1087.0,1778.0
1996-09-24,8291.0,258.0,1778.0,0.0,7841.0,5443.0,8099.0,7221.0,192.0,1070.0
1996-10-01,10466.0,204.0,1943.0,0.0,10042.0,7407.0,10246.0,9350.0,220.0,1116.0
1996-10-08,11076.0,149.0,2259.0,0.0,10661.0,7837.0,10810.0,10096.0,266.0,980.0
1996-10-15,11640.0,197.0,1189.0,30.0,11084.0,9520.0,11311.0,10739.0,329.0,901.0
1996-10-22,11030.0,505.0,1125.0,0.0,10011.0,8809.0,10516.0,9934.0,514.0,1096.0
1996-10-29,10818.0,295.0,1360.0,0.0,9847.0,8300.0,10142.0,9660.0,676.0,1158.0
1996-11-05,10445.0,238.0,1078.0,0.0,9632.0,8070.0,9870.0,9148.0,575.0,1297.0
1996-11-12,10829.0,212.0,991.0,45.0,10036.0,8589.0,10293.0,9625.0,536.0,1204.0
1996-11-19,10472.0,607.0,837.0,0.0,9196.0,8477.0,9803.0,9314.0,669.0,1158.0
1996-11-26,10333.0,140.0,2240.0,141.0,9421.0,6829.0,9702.0,9210.0,631.0,1123.0
1996-12-03,10316.0,330.0,2432.0,151.0,9164.0,6756.0,9645.0,9339.0,671.0,977.0
1996-12-10,9942.0,406.0,2557.0,170.0,8606.0,6260.0,9182.0,8987.0,760.0,955.0
1996-12-17,10695.0,252.0,1119.0,80.0,9062.0,7940.0,9394.0,9139.0,1301.0,1556.0
1996-12-24,4989.0,354.0,822.0,26.0,3996.0,3306.0,4376.0,4154.0,613.0,835.0
1996-12-31,5009.0,355.0,748.0,26.0,4020.0,3465.0,4401.0,4239.0,608.0,770.0
1997-01-07,5600.0,369.0,1026.0,26.0,4452.0,3594.0,4847.0,4646.0,753.0,954.0
1997-01-14,6864.0,333.0,1397.0,0.0,5645.0,4541.0,5978.0,5938.0,886.0,926.0
1997-01-21,7586.0,151.0,1518.0,0.0,6139.0,4233.0,6290.0,5751.0,1296.0,1835.0
1997-01-28,7149.0,264.0,1483.0,26.0,5828.0,4108.0,6118.0,5617.0,1031.0,1532.0
1997-02-04,6798.0,251.0,1210.0,26.0,5601.0,4395.0,5878.0,5631.0,920.0,1167.0
1997-02-11,6710.0,285.0,1210.0,26.0,5509.0,4464.0,5820.0,5700.0,890.0,1010.0
1997-02-18,7512.0,357.0,1335.0,26.0,5698.0,5010.0,6081.0,6371.0,1431.0,1141.0
1997-02-25,6858.0,580.0,1235.0,0.0,5338.0,4922.0,5918.0,6157.0,940.0,701.0
1997-03-04,7548.0,322.0,1709.0,288.0,6086.0,4846.0,6696.0,6843.0,852.0,705.0
1997-03-11,6840.0,756.0,1239.0,112.0,5027.0,4722.0,5895.0,6073.0,945.0,767.0
1997-03-18,10096.0,1621.0,1432.0,224.0,6149.0,6576.0,7994.0,8232.0,2102.0,1864.0
1997-03-25,6306.0,2187.0,896.0,52.0,3209.0,4356.0,5448.0,5304.0,858.0,1002.0
1997-04-01,8069.0,3174.0,1439.0,95.0,3909.0,5863.0,7178.0,7397.0,891.0,672.0
1997-04-08,8170.0,2794.0,1600.0,83.0,3954.0,5211.0,6831.0,6894.0,1339.0,1276.0
1997-04-15,7257.0,3066.0,971.0,0.0,3141.0,5397.0,6207.0,6368.0,1050.0,889.0
1997-04-22,7244.0,2457.0,1005.0,0.0,3614.0,5379.0,6071.0,6384.0,1173.0,860.0
1997-04-29,6873.0,1889.0,1154.0,95.0,3879.0,4764.0,5863.0,6013.0,1010.0,860.0
1997-05-06,8147.0,1289.0,947.0,262.0,5390.0,6006.0,6941.0,7215.0,1206.0,932.0
1997-05-13,7802.0,1210.0,776.0,181.0,5017.0,6066.0,6408.0,7023.0,1394.0,779.0
1997-05-20,7433.0,820.0,711.0,239.0,4938.0,5566.0,5997.0,6516.0,1436.0,917.0
1997-05-27,7409.0,856.0,1020.0,261.0,4925.0,5187.0,6042.0,6468.0,1367.0,941.0
1997-06-03,8024.0,583.0,1145.0,307.0,5743.0,5321.0,6633.0,6773.0,1391.0,1251.0
1997-06-10,8347.0,868.0,1143.0,239.0,6058.0,5926.0,7165.0,7308.0,1182.0,1039.0
1997-06-17,10934.0,531.0,810.0,1158.0,7475.0,7907.0,9164.0,9875.0,1770.0,1059.0
1997-06-24,6291.0,2283.0,540.0,73.0,2867.0,4615.0,5223.0,5228.0,1068.0,1063.0
1997-07-01,5790.0,481.0,526.0,69.0,4356.0,4059.0,4906.0,4654.0,884.0,1136.0
1997-07-08,6420.0,439.0,483.0,85.0,4978.0,4864.0,5502.0,5432.0,918.0,988.0
1997-07-15,6514.0,604.0,877.0,118.0,5666.0,5272.0,6388.0,6267.0,126.0,247.0
1997-07-22,6359.0,473.0,1461.0,103.0,5159.0,4438.0,5735.0,6002.0,624.0,357.0
1997-07-29,6536.0,522.0,1558.0,113.0,5280.0,4563.0,5915.0,6234.0,621.0,302.0
1997-08-05,7163.0,658.0,2117.0,147.0,5211.0,3921.0,6016.0,6185.0,1147.0,978.0
1997-08-12,8356.0,866.0,1834.0,294.0,6308.0,5297.0,7468.0,7425.0,888.0,931.0
1997-08-19,8485.0,394.0,2048.0,400.0,6590.0,4958.0,7384.0,7406.0,1101.0,1079.0
1997-08-26,8753.0,616.0,1954.0,450.0,6634.0,5345.0,7700.0,7749.0,1053.0,1004.0
1997-09-02,9036.0,413.0,1421.0,572.0,6606.0,6063.0,7591.0,8056.0,1445.0,980.0
1997-09-09,8837.0,390.0,1554.0,374.0,6744.0,6108.0,7508.0,8036.0,1329.0,801.0
1997-09-16,10695.0,312.0,1216.0,275.0,8309.0,7777.0,8896.0,9268.0,1799.0,1427.0
1997-09-23,4614.0,200.0,628.0,186.0,3472.0,3083.0,3858.0,3897.0,756.0,717.0
1997-09-30,4895.0,200.0,626.0,130.0,3603.0,3212.0,3933.0,3968.0,962.0,927.0
1997-10-07,5698.0,884.0,821.0,134.0,3135.0,3644.0,4153.0,4599.0,1545.0,1099.0
1997-10-14,5933.0,905.0,895.0,141.0,3649.0,4091.0,4695.0,5127.0,1238.0,806.0
1997-10-21,6618.0,1113.0,828.0,177.0,4114.0,4916.0,5404.0,5921.0,1214.0,697.0
1997-10-28,7288.0,1063.0,670.0,187.0,4860.0,5285.0,6110.0,6142.0,1178.0,1146.0
1997-11-04,7839.0,1026.0,1350.0,164.0,5758.0,5248.0,6948.0,6762.0,891.0,1077.0
1997-11-11,8999.0,900.0,1513.0,169.0,7131.0,6208.0,8200.0,7890.0,799.0,1109.0
1997-11-18,8922.0,951.0,1280.0,287.0,6763.0,6284.0,8001.0,7851.0,921.0,1071.0
1997-11-25,8886.0,1057.0,1203.0,255.0,6714.0,6494.0,8026.0,7952.0,860.0,934.0
1997-12-02,9443.0,1252.0,1070.0,239.0,6605.0,6502.0,8096.0,7811.0,1347.0,1632.0
1997-12-09,9265.0,1185.0,1167.0,208.0,6623.0,6568.0,8016.0,7943.0,1249.0,1322.0
1997-12-16,8522.0,1256.0,850.0,31.0,5429.0,6249.0,6716.0,7130.0,1806.0,1392.0
1997-12-19,5645.0,880.0,486.0,0.0,3582.0,4427.0,4462.0,4913.0,1183.0,732.0
1997-12-23,5541.0,945.0,646.0,0.0,3770.0,4003.0,4715.0,4649.0,826.0,892.0
1997-12-30,5881.0,953.0,515.0,0.0,3868.0,4801.0,4821.0,5316.0,1060.0,565.0
1998-01-06,5912.0,1003.0,405.0,0.0,4123.0,4677.0,5126.0,5082.0,786.0,830.0
1998-01-13,7061.0,1023.0,262.0,34.0,4691.0,5879.0,5748.0,6175.0,1313.0,886.0
1998-01-20,7217.0,1178.0,431.0,51.0,4605.0,5795.0,5834.0,6277.0,1383.0,940.0
1998-01-27,7335.0,1229.0,407.0,95.0,4758.0,6169.0,6082.0,6671.0,1253.0,664.0
1998-02-03,7475.0,1183.0,605.0,144.0,4918.0,5815.0,6245.0,6564.0,1230.0,911.0
1998-02-10,8119.0,1130.0,627.0,170.0,5259.0,6703.0,6559.0,7500.0,1560.0,619.0
1998-02-17,8219.0,1189.0,727.0,171.0,6153.0,5829.0,7513.0,6727.0,706.0,1492.0
1998-02-24,8745.0,945.0,1003.0,173.0,6490.0,6365.0,7608.0,7541.0,1137.0,1204.0
1998-03-03,9374.0,1458.0,1498.0,213.0,6228.0,6836.0,7899.0,8547.0,1475.0,827.0
1998-03-10,9751.0,1442.0,1755.0,106.0,6662.0,6904.0,8210.0,8765.0,1541.0,986.0
1998-03-17,11227.0,1224.0,1463.0,157.0,8344.0,7846.0,9725.0,9466.0,1502.0,1761.0
1998-03-24,6075.0,1313.0,832.0,71.0,3148.0,4405.0,4532.0,5308.0,1543.0,767.0
1998-03-31,6548.0,1466.0,868.0,119.0,3346.0,4898.0,4931.0,5885.0,1617.0,663.0
1998-04-07,6926.0,1233.0,1746.0,0.0,4694.0,4282.0,5927.0,6028.0,999.0,898.0
