Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1987-01-30,1687.0,392.0,210.0,0.0,610.0,294.0,1002.0,504.0,685.0,1183.0
1987-05-29,1991.0,633.0,0.0,0.0,217.0,545.0,850.0,545.0,1141.0,1446.0
1987-07-31,4182.0,2700.0,1157.0,0.0,0.0,1580.0,2700.0,2737.0,1482.0,1445.0
1987-08-14,4202.0,2700.0,1157.0,0.0,0.0,1807.0,2700.0,2964.0,1502.0,1238.0
1987-08-31,4142.0,2700.0,1157.0,0.0,0.0,2128.0,2700.0,3285.0,1442.0,857.0
1988-05-13,2739.0,1328.0,900.0,0.0,486.0,629.0,1814.0,1529.0,925.0,1210.0
1988-05-31,8929.0,4958.0,4110.0,1102.0,1951.0,2852.0,8011.0,8064.0,918.0,865.0
1988-06-15,4198.0,1418.0,3451.0,11.0,2123.0,364.0,3552.0,3826.0,646.0,372.0
1988-06-30,4992.0,236.0,0.0,0.0,3704.0,4276.0,3940.0,4276.0,1052.0,716.0
1988-07-15,4773.0,0.0,0.0,0.0,3762.0,3805.0,3762.0,3805.0,1011.0,968.0
1988-07-29,5314.0,827.0,0.0,0.0,3650.0,4139.0,4477.0,4139.0,837.0,1175.0
1988-08-15,5603.0,879.0,0.0,0.0,3763.0,4692.0,4642.0,4692.0,961.0,911.0
1988-08-31,6813.0,1593.0,0.0,0.0,4036.0,5465.0,5629.0,5465.0,1184.0,1348.0
1988-09-15,7023.0,980.0,0.0,0.0,5184.0,5944.0,6164.0,5944.0,859.0,1079.0
1989-02-28,3655.0,0.0,213.0,0.0,1594.0,1784.0,1594.0,1997.0,2061.0,1658.0
1989-05-15,2828.0,0.0,201.0,0.0,1152.0,865.0,1152.0,1066.0,1676.0,1762.0
1989-05-31,4119.0,5.0,1359.0,460.0,2076.0,819.0,2541.0,2638.0,1578.0,1481.0
1989-06-15,4367.0,0.0,261.0,512.0,2200.0,1955.0,2712.0,2728.0,1655.0,1639.0
1989-06-30,2793.0,231.0,203.0,570.0,756.0,843.0,1557.0,1616.0,1236.0,1177.0
1989-07-14,2056.0,0.0,203.0,0.0,1221.0,327.0,1221.0,530.0,835.0,1526.0
1989-07-31,2227.0,0.0,203.0,0.0,1477.0,591.0,1477.0,794.0,750.0,1433.0
1989-08-15,2572.0,0.0,417.0,0.0,1178.0,642.0,1178.0,1059.0,1394.0,1513.0
1989-08-31,2521.0,0.0,0.0,0.0,1505.0,642.0,1505.0,642.0,1016.0,1879.0
1989-09-15,3436.0,240.0,107.0,220.0,1148.0,969.0,1608.0,1296.0,1828.0,2140.0
1989-12-29,2554.0,1445.0,597.0,0.0,0.0,827.0,1445.0,1424.0,1109.0,1130.0
1990-01-15,2343.0,209.0,598.0,0.0,1462.0,529.0,1671.0,1127.0,672.0,1216.0
1990-01-31,3313.0,0.0,200.0,0.0,2626.0,522.0,2626.0,722.0,687.0,2591.0
1990-02-15,3799.0,200.0,500.0,0.0,2458.0,481.0,2658.0,981.0,1141.0,2818.0
1990-03-15,3431.0,0.0,300.0,0.0,2469.0,725.0,2469.0,1025.0,962.0,2406.0
1990-03-30,2343.0,0.0,459.0,0.0,1748.0,0.0,1748.0,459.0,595.0,1884.0
1990-04-30,2968.0,0.0,474.0,0.0,1296.0,544.0,1296.0,1018.0,1672.0,1950.0
1990-05-15,2274.0,0.0,444.0,0.0,1411.0,544.0,1411.0,988.0,863.0,1286.0
1990-07-13,2661.0,505.0,0.0,0.0,117.0,1688.0,622.0,1688.0,2039.0,973.0
1990-08-15,2639.0,0.0,0.0,0.0,767.0,1398.0,767.0,1398.0,1872.0,1241.0
1990-08-31,3070.0,0.0,0.0,0.0,1022.0,2177.0,1022.0,2177.0,2048.0,893.0
1990-09-14,3281.0,0.0,0.0,0.0,1398.0,2386.0,1398.0,2386.0,1883.0,895.0
1990-10-15,1889.0,0.0,0.0,0.0,864.0,842.0,864.0,842.0,1025.0,1047.0
1990-11-15,2797.0,0.0,0.0,0.0,905.0,1084.0,905.0,1084.0,1892.0,1713.0
1990-11-30,3152.0,0.0,0.0,0.0,2290.0,1282.0,2290.0,1282.0,862.0,1870.0
1990-12-14,3441.0,0.0,227.0,0.0,2455.0,1585.0,2455.0,1812.0,986.0,1629.0
1991-01-15,1960.0,0.0,0.0,0.0,1078.0,1063.0,1078.0,1063.0,882.0,897.0
1991-02-15,1908.0,0.0,0.0,0.0,640.0,1089.0,640.0,1089.0,1268.0,819.0
1991-06-14,3181.0,204.0,0.0,0.0,1190.0,1060.0,1394.0,1060.0,1787.0,2121.0
1992-04-15,3185.0,510.0,0.0,0.0,1523.0,1969.0,2033.0,1969.0,1152.0,1216.0
1992-04-30,2477.0,244.0,0.0,0.0,1523.0,1474.0,1767.0,1474.0,710.0,1003.0
1992-05-15,2515.0,217.0,0.0,0.0,1331.0,1197.0,1548.0,1197.0,967.0,1318.0
1992-05-29,2563.0,217.0,0.0,0.0,1330.0,1567.0,1547.0,1567.0,1016.0,996.0
1992-06-15,2783.0,0.0,0.0,0.0,1502.0,1575.0,1502.0,1575.0,1281.0,1208.0
1992-08-14,3451.0,0.0,889.0,0.0,2711.0,0.0,2711.0,889.0,740.0,2562.0
1992-08-31,3725.0,0.0,958.0,0.0,2773.0,10.0,2773.0,968.0,952.0,2757.0
1992-09-15,5434.0,0.0,412.0,0.0,4252.0,3322.0,4252.0,3734.0,1182.0,1700.0
1992-09-30,3115.0,0.0,673.0,0.0,2361.0,1207.0,2361.0,1880.0,754.0,1235.0
1992-10-06,3085.0,0.0,673.0,0.0,2363.0,1234.0,2363.0,1907.0,722.0,1178.0
1992-10-13,2997.0,0.0,673.0,0.0,2363.0,1412.0,2363.0,2085.0,634.0,912.0
1992-10-20,2953.0,0.0,517.0,0.0,2363.0,1315.0,2363.0,1832.0,590.0,1121.0
1992-10-27,3644.0,0.0,517.0,0.0,2637.0,971.0,2637.0,1488.0,1007.0,2156.0
1992-11-03,4101.0,0.0,914.0,0.0,3267.0,112.0,3267.0,1026.0,834.0,3075.0
1992-11-10,4115.0,0.0,914.0,0.0,3221.0,122.0,3221.0,1036.0,894.0,3079.0
1992-11-17,4376.0,0.0,1137.0,0.0,3357.0,122.0,3357.0,1259.0,1019.0,3117.0
1992-11-24,4518.0,218.0,1137.0,0.0,3251.0,122.0,3469.0,1259.0,1049.0,3259.0
1992-12-01,5237.0,0.0,1116.0,0.0,3291.0,389.0,3291.0,1505.0,1946.0,3732.0
1992-12-08,4165.0,0.0,743.0,0.0,2677.0,1026.0,2677.0,1769.0,1488.0,2396.0
1992-12-15,4320.0,0.0,743.0,0.0,3284.0,1405.0,3284.0,2148.0,1036.0,2172.0
1992-12-22,2394.0,0.0,743.0,0.0,1680.0,0.0,1680.0,743.0,714.0,1651.0
1992-12-29,2398.0,0.0,743.0,0.0,1656.0,0.0,1656.0,743.0,742.0,1655.0
1993-01-05,3705.0,0.0,1326.0,0.0,3631.0,5.0,3631.0,1331.0,74.0,2374.0
1993-01-12,4477.0,0.0,1626.0,0.0,3811.0,0.0,3811.0,1626.0,666.0,2851.0
1993-01-19,4631.0,0.0,1626.0,0.0,4019.0,0.0,4019.0,1626.0,612.0,3005.0
1993-01-26,4619.0,0.0,1417.0,0.0,3924.0,0.0,3924.0,1417.0,695.0,3202.0
1993-02-02,4597.0,0.0,1619.0,0.0,3468.0,361.0,3468.0,1980.0,1129.0,2617.0
1993-02-09,3812.0,0.0,1252.0,0.0,3188.0,366.0,3188.0,1618.0,624.0,2194.0
1993-02-16,3409.0,0.0,851.0,0.0,2499.0,428.0,2499.0,1279.0,910.0,2130.0
1993-02-23,3376.0,286.0,311.0,0.0,1740.0,2002.0,2026.0,2313.0,1350.0,1063.0
1993-03-02,4640.0,738.0,0.0,0.0,1650.0,3610.0,2388.0,3610.0,2252.0,1030.0
1993-03-09,4926.0,738.0,0.0,0.0,1650.0,3422.0,2388.0,3422.0,2538.0,1504.0
1993-03-16,6054.0,872.0,0.0,0.0,2323.0,5135.0,3195.0,5135.0,2859.0,919.0
1993-03-23,3633.0,1059.0,0.0,0.0,319.0,2804.0,1378.0,2804.0,2255.0,829.0
1993-03-30,3480.0,1059.0,0.0,0.0,309.0,2659.0,1368.0,2659.0,2112.0,821.0
1993-04-06,2558.0,327.0,0.0,0.0,502.0,938.0,829.0,938.0,1729.0,1620.0
1993-04-13,2612.0,548.0,0.0,0.0,239.0,1122.0,787.0,1122.0,1825.0,1490.0
1993-04-20,3067.0,656.0,0.0,0.0,0.0,2044.0,656.0,2044.0,2411.0,1023.0
1993-04-27,3445.0,650.0,0.0,0.0,379.0,2448.0,1029.0,2448.0,2416.0,997.0
1993-05-04,3026.0,319.0,0.0,2.0,788.0,1667.0,1109.0,1669.0,1917.0,1357.0
1993-05-11,4197.0,319.0,0.0,2.0,2286.0,2477.0,2607.0,2479.0,1590.0,1718.0
1993-05-18,4336.0,241.0,216.0,0.0,2939.0,2478.0,3180.0,2694.0,1156.0,1642.0
1993-05-25,4524.0,273.0,333.0,0.0,2946.0,2057.0,3219.0,2390.0,1305.0,2134.0
1993-06-01,5062.0,232.0,691.0,0.0,3461.0,2151.0,3693.0,2842.0,1369.0,2220.0
1993-06-08,7243.0,273.0,806.0,0.0,5022.0,3529.0,5295.0,4335.0,1948.0,2908.0
1993-06-15,7000.0,218.0,806.0,0.0,5167.0,3437.0,5385.0,4243.0,1615.0,2757.0
1993-06-22,3685.0,0.0,877.0,0.0,2655.0,1225.0,2655.0,2102.0,1030.0,1583.0
1993-06-29,4041.0,0.0,981.0,0.0,2926.0,1105.0,2926.0,2086.0,1115.0,1955.0
1993-07-06,4027.0,0.0,781.0,0.0,2730.0,885.0,2730.0,1666.0,1297.0,2361.0
1993-07-13,3991.0,0.0,708.0,0.0,2705.0,1212.0,2705.0,1920.0,1286.0,2071.0
